id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1470,2730,2159,1,DE VILLEGAS,"4.307907, 50.869728",PAMPOEL,"4.304048, 50.870839",83,4.307907,50.869728,4.304048000000001,50.870839000000004
1471,2159,4162,1,PAMPOEL,"4.304048, 50.870839",BASILIX,"4.29793, 50.872806",83,4.304048000000001,50.870839000000004,4.29793,50.872806
1472,4162,4165,1,BASILIX,"4.29793, 50.872806",BOIS DES ILES,"4.294419, 50.873883","83, 87",4.29793,50.872806,4.294419,50.873883
1473,4165,2845,1,BOIS DES ILES,"4.294419, 50.873883",GARE DE BERCHEM,"4.28982, 50.872317",83,4.294419,50.873883,4.28982,50.872316999999995
1474,2845,2864,2,GARE DE BERCHEM,"4.28982, 50.872317",GARE DE BERCHEM,"4.290775, 50.872448",83,4.28982,50.872316999999995,4.290775,50.872448
1475,2864,4062,2,GARE DE BERCHEM,"4.290775, 50.872448",BOIS DES ILES,"4.295042, 50.873513","83, 87",4.290775,50.872448,4.295042,50.873513
1476,4062,2176,2,BOIS DES ILES,"4.295042, 50.873513",BASILIX,"4.297737, 50.872416",83,4.295042,50.873513,4.297737000000001,50.872415999999994
1477,2176,2158,2,BASILIX,"4.297737, 50.872416",PAMPOEL,"4.305265, 50.870326",83,4.297737000000001,50.872415999999994,4.305265,50.870326
1478,2158,2729,2,PAMPOEL,"4.305265, 50.870326",DE VILLEGAS,"4.307992, 50.869539",83,4.305265,50.870326,4.307992,50.869539
1479,2729,4156,2,DE VILLEGAS,"4.307992, 50.869539",BEECKMANS,"4.310688, 50.869363",83,4.307992,50.869539,4.310688,50.869363
1480,4156,4157,2,BEECKMANS,"4.310688, 50.869363",SORENSEN,"4.312039, 50.871043","83, 87",4.310688,50.869363,4.3120389999999995,50.871043
1481,4157,2160,2,SORENSEN,"4.312039, 50.871043",NEREUS,"4.315007, 50.872959",83,4.3120389999999995,50.871043,4.315007,50.872959
1482,2160,9103,2,NEREUS,"4.315007, 50.872959",SQ. DU CENTENAIRE,"4.317873, 50.876241",83,4.315007,50.872959,4.3178730000000005,50.876241
1483,3607,1768,2,FERNANDE VOLRAL,"4.322101, 50.882814",BONAVENTURE,"4.322729, 50.884961",83,4.322101,50.882814,4.322729,50.884961
1484,2801,2867,2,CROCQ,"4.329588, 50.884911",HOPITAL BRUGMANN,"4.332671, 50.885793",83,4.329587999999999,50.884910999999995,4.3326709999999995,50.885793
1485,2867,1467,2,HOPITAL BRUGMANN,"4.332671, 50.885793",HOP. DES ENFANTS,"4.327578, 50.888569",83,4.3326709999999995,50.885793,4.327578,50.888569
1486,1467,9047,2,HOP. DES ENFANTS,"4.327578, 50.888569",STIENON,"4.328816, 50.889855",83,4.327578,50.888569,4.328816000000001,50.889855
