lineId,directionId,pointId,(avg(speed) * 3.6),count,local_time
54,1780,4367,6.422928427167561,1,2025-06-28 19:30:00
71,2596,4367,20.31289036071713,4,2025-06-28 19:30:00
80,4952,4367,14.491058627296843,3,2025-06-28 19:30:00
95,1781,4367,15.876657638285598,4,2025-06-28 19:30:00
71,3520,5407,17.189491241487488,15,2025-06-28 19:30:00
38,1000,6112,9.555927986407818,7,2025-06-28 19:30:00
54,1780,6112,10.075655559278948,3,2025-06-28 19:30:00
60,1425,6112,6.909355603397015,4,2025-06-28 19:30:00
34,4952,6432,11.837262872904185,11,2025-06-28 19:30:00
38,1000,6432,0.17846947257362944,1,2025-06-28 19:30:00
64,4952,6432,9.21362972032016,6,2025-06-28 19:30:00
71,2596,6432,14.935904156121657,15,2025-06-28 19:30:00
80,4952,6432,15.121881147575671,4,2025-06-28 19:30:00
95,1781,6432,10.667297063802915,4,2025-06-28 19:30:00
34,9978,6433,7.130438429575662,2,2025-06-28 19:30:00
38,4076,6433,5.46853893053526,3,2025-06-28 19:30:00
54,1780,6433,6.044856688745044,1,2025-06-28 19:30:00
80,9946,6433,10.118018000732299,2,2025-06-28 19:30:00
95,4318,6433,3.9117422055202686,1,2025-06-28 19:30:00
64,4952,1162,11.219418835354052,6,2025-06-28 19:45:00
34,9978,1233,15.365659116860051,5,2025-06-28 19:45:00
38,4076,1233,13.694388434257629,5,2025-06-28 19:45:00
54,1780,1233,17.572427914820448,4,2025-06-28 19:45:00
80,9946,1233,13.541775691178303,5,2025-06-28 19:45:00
95,4318,1233,11.902574058838159,10,2025-06-28 19:45:00
34,4952,1278,23.937638498927242,3,2025-06-28 19:45:00
59,3130,1280,12.476354337968992,1,2025-06-28 19:45:00
64,3134,1654,15.217407902447192,3,2025-06-28 19:45:00
34,9978,1706,14.634094107932988,1,2025-06-28 19:45:00
80,9946,1706,7.136692187775292,1,2025-06-28 19:45:00
34,9978,1712,11.228735581991604,1,2025-06-28 19:45:00
34,9978,1713,16.945444767879202,8,2025-06-28 19:45:00
34,9978,1714,16.491718039535538,2,2025-06-28 19:45:00
34,9978,1715,17.79101167624194,4,2025-06-28 19:45:00
34,9978,1728,12.823971865776478,3,2025-06-28 19:45:00
80,9946,1728,9.091033444991265,3,2025-06-28 19:45:00
